player_id,full_name,position,age,experience,average_draft_position,projected_ppg,expected_ppg,comp_n,self_n_seasons,stock,description
-16034,Texans D/ST,DST,99,99,86.8,7.53,9.880920201,13,3,AVERAGE,Texans D/ST is projected for 7.5 PPG off an ADP of 86.8. Over his last 3 seasons he's landed at 1.45x his preseason projection. Production and cost look roughly in line with expectations.
-16007,Broncos D/ST,DST,99,99,91.4,7.69,11.36741318,14,3,AVERAGE,Broncos D/ST is projected for 7.7 PPG off an ADP of 91.4. Over his last 3 seasons he's landed at 1.87x his preseason projection. Production and cost look roughly in line with expectations.
-16014,Rams D/ST,DST,99,99,99.5,7.25,9.920279355,18,3,AVERAGE,Rams D/ST is projected for 7.2 PPG off an ADP of 99.5. Over his last 3 seasons he's landed at 1.53x his preseason projection. Production and cost look roughly in line with expectations.
-16026,Seahawks D/ST,DST,99,99,101.2,7.09,9.072514019,19,3,BREAKOUT,"Seahawks D/ST is projected for 7.1 PPG off an ADP of 101.2. Over his last 3 seasons he's landed at 1.35x his preseason projection. Age, trend, and role all point toward a real step forward this year."
-16023,Steelers D/ST,DST,99,99,122,7.43,8.004930515,20,3,AVERAGE,Steelers D/ST is projected for 7.4 PPG off an ADP of 122.0. Over his last 3 seasons he's landed at 0.97x his preseason projection. Production and cost look roughly in line with expectations.
-16017,Patriots D/ST,DST,99,99,128.2,5.9,6.361152568,23,3,AVERAGE,Patriots D/ST is projected for 5.9 PPG off an ADP of 128.2. Over his last 3 seasons he's landed at 1.05x his preseason projection. Production and cost look roughly in line with expectations.
-16021,Eagles D/ST,DST,99,99,133.6,6.28,7.79521311,23,3,AVERAGE,Eagles D/ST is projected for 6.3 PPG off an ADP of 133.6. Over his last 3 seasons he's landed at 1.41x his preseason projection. Production and cost look roughly in line with expectations.
-16033,Ravens D/ST,DST,99,99,137.8,6.94,6.278280638,22,3,BUST,"Ravens D/ST is projected for 6.9 PPG off an ADP of 137.8. Over his last 3 seasons he's landed at 0.72x his preseason projection. Age, injury trend, and comparable outcomes point to real disappointment risk."
-16008,Lions D/ST,DST,99,99,156.1,6.36,5.781121017,21,3,AVERAGE,Lions D/ST is projected for 6.4 PPG off an ADP of 156.1. Over his last 3 seasons he's landed at 0.84x his preseason projection. Production and cost look roughly in line with expectations.
-16005,Browns D/ST,DST,99,99,157.2,6.11,7.057049449,21,3,AVERAGE,Browns D/ST is projected for 6.1 PPG off an ADP of 157.2. Over his last 3 seasons he's landed at 1.29x his preseason projection. Production and cost look roughly in line with expectations.
-16016,Vikings D/ST,DST,99,99,158.3,4.22,5.088384256,20,3,OVERVALUED,Vikings D/ST is projected for 4.2 PPG off an ADP of 158.3. Over his last 3 seasons he's landed at 1.38x his preseason projection. His draft cost is running ahead of what the data supports.
-16030,Jaguars D/ST,DST,99,99,159,4.77,4.702906946,20,3,WILDCARD,Jaguars D/ST is projected for 4.8 PPG off an ADP of 159.0. Over his last 3 seasons he's landed at 0.95x his preseason projection. Outcomes here run wide — real weekly-winner upside with real downside risk.
-16024,Chargers D/ST,DST,99,99,163.3,5.53,7.069820854,17,3,SLEEPER,Chargers D/ST is projected for 5.5 PPG off an ADP of 163.3. Over his last 3 seasons he's landed at 1.56x his preseason projection. His ADP undersells his likely output — worth a look in the later rounds.
-16012,Chiefs D/ST,DST,99,99,165.6,5.91,5.694012209,18,3,AVERAGE,Chiefs D/ST is projected for 5.9 PPG off an ADP of 165.6. Over his last 3 seasons he's landed at 0.93x his preseason projection. Production and cost look roughly in line with expectations.
-16006,Cowboys D/ST,DST,99,99,167.6,3.8,3.136122641,15,3,BUST,"Cowboys D/ST is projected for 3.8 PPG off an ADP of 167.6. Over his last 3 seasons he's landed at 0.66x his preseason projection. Age, injury trend, and comparable outcomes point to real disappointment risk."
-16009,Packers D/ST,DST,99,99,168.2,5.25,5.346587455,15,3,AVERAGE,Packers D/ST is projected for 5.2 PPG off an ADP of 168.2. Over his last 3 seasons he's landed at 1.13x his preseason projection. Production and cost look roughly in line with expectations.
-16025,49ers D/ST,DST,99,99,168.5,4.83,4.329611925,32,3,BUST,"49ers D/ST is projected for 4.8 PPG off an ADP of 168.5. Over his last 3 seasons he's landed at 0.73x his preseason projection. Age, injury trend, and comparable outcomes point to real disappointment risk."
-16027,Buccaneers D/ST,DST,99,99,169.2,5.46,5.765373552,30,3,SLEEPER,Buccaneers D/ST is projected for 5.5 PPG off an ADP of 169.2. Over his last 3 seasons he's landed at 1.02x his preseason projection. His ADP undersells his likely output — worth a look in the later rounds.
-16003,Bears D/ST,DST,99,99,169.2,4.95,5.050673897,30,3,AVERAGE,Bears D/ST is projected for 5.0 PPG off an ADP of 169.2. Over his last 3 seasons he's landed at 0.95x his preseason projection. Production and cost look roughly in line with expectations.
-16004,Bengals D/ST,DST,99,99,169.3,4.98,4.733011385,31,3,RISKY,"Bengals D/ST is projected for 5.0 PPG off an ADP of 169.3. Over his last 3 seasons he's landed at 0.79x his preseason projection. Health, role, or situational uncertainty make him a volatile bet."
-16019,Giants D/ST,DST,99,99,169.3,4.09,4.00385087,32,3,RISKY,"Giants D/ST is projected for 4.1 PPG off an ADP of 169.3. Over his last 3 seasons he's landed at 0.85x his preseason projection. Health, role, or situational uncertainty make him a volatile bet."
-16002,Bills D/ST,DST,99,99,169.3,3.37,4.077869436,32,3,AVERAGE,Bills D/ST is projected for 3.4 PPG off an ADP of 169.3. Over his last 3 seasons he's landed at 1.34x his preseason projection. Production and cost look roughly in line with expectations.
-16028,Commanders D/ST,DST,99,99,169.6,3.62,3.593853065,30,3,RISKY,"Commanders D/ST is projected for 3.6 PPG off an ADP of 169.6. Over his last 3 seasons he's landed at 0.88x his preseason projection. Health, role, or situational uncertainty make him a volatile bet."
-16015,Dolphins D/ST,DST,99,99,169.6,2.6,2.545545739,30,3,OVERVALUED,Dolphins D/ST is projected for 2.6 PPG off an ADP of 169.6. Over his last 3 seasons he's landed at 0.85x his preseason projection. His draft cost is running ahead of what the data supports.
-16029,Panthers D/ST,DST,99,99,169.7,4.41,4.535350672,30,3,SLEEPER,Panthers D/ST is projected for 4.4 PPG off an ADP of 169.7. Over his last 3 seasons he's landed at 0.99x his preseason projection. His ADP undersells his likely output — worth a look in the later rounds.
-16013,Raiders D/ST,DST,99,99,169.7,3.36,3.51996282,30,3,AVERAGE,Raiders D/ST is projected for 3.4 PPG off an ADP of 169.7. Over his last 3 seasons he's landed at 1.03x his preseason projection. Production and cost look roughly in line with expectations.
-16022,Cardinals D/ST,DST,99,99,169.7,3.02,3.351457682,30,3,RISKY,"Cardinals D/ST is projected for 3.0 PPG off an ADP of 169.7. Over his last 3 seasons he's landed at 1.16x his preseason projection. Health, role, or situational uncertainty make him a volatile bet."
-16010,Titans D/ST,DST,99,99,169.9,3.94,3.763897996,29,3,AVERAGE,Titans D/ST is projected for 3.9 PPG off an ADP of 169.9. Over his last 3 seasons he's landed at 0.84x his preseason projection. Production and cost look roughly in line with expectations.
-16020,Jets D/ST,DST,99,99,170,4.79,3.29800812,10,3,RISKY,"Jets D/ST is projected for 4.8 PPG off an ADP of 170.0. Over his last 3 seasons he's landed at 0.50x his preseason projection. Health, role, or situational uncertainty make him a volatile bet."
-16001,Falcons D/ST,DST,99,99,170,3.53,3.681059522,9,3,RISKY,"Falcons D/ST is projected for 3.5 PPG off an ADP of 170.0. Over his last 3 seasons he's landed at 1.20x his preseason projection. Health, role, or situational uncertainty make him a volatile bet."
-16018,Saints D/ST,DST,99,99,170.2,4.74,5.130534985,8,3,DIAMOND,Saints D/ST is projected for 4.7 PPG off an ADP of 170.2. Over his last 3 seasons he's landed at 1.27x his preseason projection. He's being drafted well below his projected output — a clear value target.
-16011,Colts D/ST,DST,99,99,170.5,5.15,4.502241178,7,3,DIAMOND,Colts D/ST is projected for 5.2 PPG off an ADP of 170.5. Over his last 3 seasons he's landed at 0.75x his preseason projection. He's being drafted well below his projected output — a clear value target.
3953687,Brandon Aubrey,K,31,3,84,10.09,11.68806229,14,3,STAR,"Brandon Aubrey is projected for 10.1 PPG off an ADP of 84.0. Over his last 3 seasons he's landed at 1.33x his preseason projection. He's an established, consistent difference-maker at the position."
4362081,Cameron Dicker,K,26,4,108.7,9.51,10.17691144,12,3,STAR,"Cameron Dicker is projected for 9.5 PPG off an ADP of 108.7. Over his last 3 seasons he's landed at 1.16x his preseason projection. He's an established, consistent difference-maker at the position."
